名称,抓取率,评分,
沼泽水蛭,3.3%,99,
沼泽爬行者,4.9%,92,
沼泽飞龙,7.9%,60,
沼泽龙蛋,2.7%,26,
法力之池,1.2%,71,
法力巨人,4.2%,94,
法力怨魂,1%,92,
法力浮龙,6.9%,79,
法力飓风,8.8%,136,
法奥瑞斯国王,0.5%,79,
法术共鸣,0.1%,93,
法术反制,11.9%,98,
泥沼狩猎者,2.3%,126,
活动假人,0.1%,63,
活化纪念碑,7%,98,
活化雪崩,33.1%,107,
活化龙息,21.4%,109,
派烙斯,0.1%,165,
流沙元素,8.8%,130,
海地精猎手,11.8%,96,
海巨人,1.3%,130,
海蛇蛋,1%,25,
淡水鳄,4.2%,87,
淤泥践踏者,8.1%,102,
深坑鳄鱼,24.2%,125,
深潜炸弹,1.9%,37,
深蓝系咒师,15.4%,114,
渡鸦信使,73.3%,141,
滑板机器人,2.9%,88,
火山药水,0.3%,148,
火山龙,0.1%,115,
火岩元素,0.1%,82,
火焰使者,0.1%,92,
火焰结界,27.6%,104,
火球术,52.3%,165,
火球滚滚,25.7%,181,
火羽精灵,0.3%,114,
火花引擎,1.5%,71,
火花钻机,2.9%,99,
火车王里诺艾,0.2%,104,
火鹰,21.2%,127,
灰发巫师,1.9%,97,
灼光战斗法师,19.9%,97,
炎爆术,11.3%,126,
烈日行者,5.1%,105,
烈焰喷涌,0.5%,143,
烈焰巨兽,0.8%,91,
烈焰轰击,41.7%,129,
烈焰风暴,45%,205,
热心的酒保,0.2%,109,
热气球,11.3%,75,
煤烟喷吐装置,7%,101,
熔火恶犬,0.6%,79,
熟练的水手,2.5%,95,
燃烬风暴,12%,120,
爆炸符文,0.3%,128,
爆爆机器人,6.7%,103,
爆盐投弹手,1.5%,108,
牛头人战士,1.9%,73,
特殊坐骑商人,11.2%,101,
犯罪高手,0.2%,120,
狂奔的魔暴龙,0.1%,142,
狂奔科多兽,4.4%,94,
狂暴邪翼蝠,6.8%,79,
狂野炎术师,3.1%,117,
狐人恶棍,5.2%,144,
狗头人地卜师,2.8%,90,
狗头人学徒,0.1%,111,
狗头人武僧,0.1%,101,
狗头人沙漠步兵,2.5%,69,
狼人憎恶,3.7%,129,
狼人渗透者,4.5%,92,
狼骑兵,3.3%,97,
猩红法力浮龙,0.1%,68,
王牌猎人,1.8%,68,
玛里苟斯,0.5%,90,
瑟玛普拉格,0.5%,84,
生锈的回收机器人,5.3%,85,
电磁脉冲特工,0.3%,70,
电能工匠,2.5%,94,
疯帽客,1.4%,83,
疯狂召唤师,0.4%,70,
疯狂投弹者,7.6%,104,
疯狂爆破者,5.1%,87,
疯狂的炼金师,2.9%,97,
疯狂的科学家,0.2%,118,
癫狂的医生,10.7%,90,
白银之手骑士,6.2%,104,
白骨怨灵,19.7%,120,
矮人考古学家,2%,107,
石丘防御者,0.1%,143,
石塘猎人,0.1%,102,
石拳食人魔,8.4%,100,
石牙野猪,0.5%,62,
石皮蜥蜴,0.3%,140,
石腭穴居人壮汉,11.2%,91,
砰砰博士,3.2%,143,
破咒珠宝师,9.5%,100,
破法者,5.1%,104,
破甲骑士,9.3%,89,
破碎残阳祭司,6.6%,91,
破铜烂铁机器人,0.3%,53,
硬壳甲虫,0.2%,119,
碎石穴居人,13%,99,
碎雪机器人,27.5%,118,
碧蓝龙探险者,49.8%,146,
祖达克仪祭师,2.2%,38,
神殿狂战士,15.6%,121,
禁忌烈焰,0.1%,138,
科多兽骑手,0.1%,163,
科赞秘术师,3.9%,70,
秘法宝典,0.1%,115,
穆克拉,0.1%,79,
穴居人食菌者,0.2%,97,
空军指挥官,5.2%,69,
空降歹徒,1.3%,64,
窃魂者阿扎莉娜,0.3%,49,
竞技场主宰,2.9%,96,
筑巢双头鹏,0.3%,120,
篝火元素,10.8%,111,
米米尔隆的头部,0.1%,79,
精灵弓箭手,3.3%,106,
精灵龙,10.1%,108,
精神控制技师,0.4%,117,
紫罗兰典狱官,22%,113,
紫罗兰教师,3.7%,98,
紫罗兰魔剑士,2.6%,116,
紫罗兰魔翼鸦,31.3%,101,
红龙女王阿莱克丝塔萨,4.6%,146,
纳迦沙漠女巫,3.7%,93,
纳迦海盗,0.1%,108,
织法巨龙玛里苟斯,4.7%,159,
绿洲钳嘴龟,1.6%,71,
绿色凝胶怪,0.2%,106,
缚沙者,1.9%,93,
美味飞鱼,9.6%,75,
群星罗列者,0.3%,90,
翼手龙宝宝,0.1%,106,
老式治疗机器人,8.3%,80,
考古专家雷诺,4.1%,172,
耶比托·乔巴斯,0.3%,92,
肉用僵尸,0.2%,124,
肯瑞托法师,8.5%,106,
胡桃精,9.8%,90,
脑力激荡者,0.7%,46,
脱逃的样本,0.5%,99,
腐化先知,0.1%,123,
腐烂的苹果树,16.8%,109,
腐肉食尸鬼,2.8%,90,
臃肿的蛇颈龙,0.2%,110,
自爆绵羊,10.4%,96,
舒玛,1.3%,110,
船载火炮,7.4%,100,
艾泽里特元素,1.6%,77,
艾露恩的女祭司,1.4%,73,
苔藓恐魔,3.7%,117,
苦痛侍僧,4.6%,101,
荆棘帮小偷,11.5%,87,
荆棘帮巫婆,4.3%,118,
荆棘帮斗猪,38.3%,147,
荆棘帮暴徒,1.5%,80,
荆棘谷猛虎,7.2%,94,
药水商人,9.7%,75,
莫什奥格播报员,0.1%,134,
莽头食人魔,8.2%,113,
菌菇术士,0.3%,140,
菌菇附魔师,0.2%,107,
萨尔玛先知,0.8%,62,
萨索瓦尔,1.3%,97,
萨维斯,0.5%,121,
葛拉卡爬行蟹,0.1%,103,
蒸发,6.6%,72,
蓝腮战士,2.4%,87,
藏宝匪贼,0.2%,56,
藏宝巨龙,0.1%,115,
藏宝海湾保镖,1.7%,91,
虚灵奥术师,2%,59,
蜘蛛坦克,16.7%,109,
血帆海盗,0.6%,63,
血帆袭击者,3.2%,88,
血沼迅猛龙,4.3%,96,
血法师萨尔诺斯,0.4%,113,
血色十字军战士,6.8%,95,
血骑士,1.1%,104,
被感染的贮藏者,0.1%,101,
被缚的魔像,12.2%,152,
裹尸匠,1.4%,87,
观星者露娜,3.9%,162,
角鹰兽,19%,112,
触手恐吓者,1.6%,81,
诅咒教派领袖,5.9%,108,
诺兹多姆,0.2%,66,
诺莫瑞根步兵,1.4%,66,
负伤剑圣,2%,100,
贫瘠之地饲养员,0.5%,86,
赛场观众,0.1%,91,
赫米特·奈辛瓦里,0.3%,95,
蹒跚的食尸鬼,0.1%,92,
载人收割机,17.6%,139,
载人毁灭机,1.5%,112,
载人飞天魔像,4.8%,136,
辛达苟萨,0.1%,110,
辟法奇美拉,14.3%,102,
辟法巨龙,17.9%,156,
辟法灵龙,12.8%,112,
辟法龙人,32.8%,120,
达拉然图书管理员,11.7%,90,
达拉然圣剑士,36.9%,123,
达拉然法师,0.7%,66,
迅捷的信使,16%,115,
远古谜团,6.1%,76,
迦顿男爵,1%,139,
迷失的幽魂,0.8%,54,
迷失的陆行鸟,7.7%,106,
迷彩飞艇,8.6%,87,
迸射流星,23.9%,124,
通电机器人,0.1%,51,
邪教药剂师,0.1%,77,
邪犬,3.5%,84,
邪魂审判官,1.4%,77,
酸性沼泽软泥怪,8.2%,101,
野猪骑士斯派克,0.1%,126,
量产型恐吓机,3.6%,130,
金甲虫,16.4%,112,
钢铁暴怒者,11.1%,114,
铁喙猫头鹰,3.8%,73,
铁炉堡火枪手,2%,86,
铁鬃灰熊,2.6%,93,
银月城卫兵,3.6%,92,
银背族长,0.2%,59,
银色侍从,5.3%,97,
银色指挥官,4.6%,122,
铸剑师,0.9%,72,
锐鳞骑士,19.6%,92,
镜像,7.5%,86,
镜像实体,25.7%,93,
闪光的蘑菇,0.1%,109,
闪金镇步兵,0.7%,73,
闹闹机器人,0.2%,104,
阵线破坏者,0.1%,96,
阿努比萨斯战争使者,6.1%,88,
阿古斯防御者,3.5%,115,
阿曼尼狂战士,8.9%,110,
阿莱克丝塔萨,0.9%,92,
陶罐商人,7%,89,
隐秘破坏者,2.1%,14,
隐鳞药剂师,3.2%,90,
雷矛特种兵,3.5%,99,
雷霆蜥蜴,0.1%,93,
霍格,0.6%,113,
霜冻射线,18.2%,60,
霜狼步兵,1.1%,80,
霜狼督军,4%,98,
露娜的口袋银河,1.5%,81,
霸气的旅店老板娘,2.2%,76,
青铜门卫,3.4%,84,
颤地者特罗格佐尔,0.9%,79,
风怒鹰身人,1.3%,72,
风暴看守,0.1%,85,
风险投资公司雇佣兵,3%,60,
飞刀杂耍者,2.9%,123,
飞天鱼人,2.3%,69,
飞弹机器人,3.3%,121,
飞行器,0.9%,50,
飞行管理员,10.4%,100,
食人魔勇士穆戈尔,0.4%,102,
食人魔步兵,12.6%,107,
食人魔法师,4%,101,
饥饿的双头怪,0.1%,102,
骄傲的防御者,39.6%,121,
鬼灵爬行者,0.3%,132,
鬼灵骑士,0.2%,97,
鬼祟恶魔,0.1%,114,
魅影歹徒,0.1%,109,
魅影民兵,6.8%,104,
魔古山守望者,0.4%,73,
魔术戏法,34%,94,
魔法幻象,0.7%,74,
魔法蓝蛙,11.5%,96,
魔法订书匠,16.9%,112,
魔法飞毯,0.6%,94,
魔爆术,21.5%,132,
魔瘾者,0.6%,51,
魔网操控者,0.2%,140,
魔能机甲,1%,154,
鱼人投手,9%,98,
鱼人招潮者,0.1%,65,
鱼人木乃伊,8.2%,99,
鱼人杀手蟹,0.4%,69,
鱼人猎潮者,3.9%,102,
鱼人袭击者,0.8%,80,
鱼人领军,0.2%,82,
鲁莽火箭兵,3.4%,96,
鲁莽试验,6.4%,102,
麦田傀儡,7.1%,100,
麦迪文,0.1%,134,
麦迪文的残影,3.4%,112,
麻风侏儒,0.7%,64,
黏指狗头人,1.7%,71,
黑樟林树精,14.3%,102,
黑沼枭兽,1.1%,60,
黑铁矮人,8.9%,119,
黑骑士,1.1%,103,
齐恩瓦拉,0.9%,91,
齿轮大师,3.5%,72,
龙眠净化者,2.2%,92,
龙骨卫士,9.2%,91,
